GA-Chromosomes100Generations100Breed0.0Death0.0T1Accuracy,GA-Chromosomes100Generations100Breed0.125Death0.0T1Accuracy,GA-Chromosomes100Generations100Breed0.25Death0.0T1Accuracy,GA-Chromosomes100Generations100Breed0.5Death0.0T1Accuracy,GA-Chromosomes100Generations100Breed0.75Death0.0T1Accuracy,GA-Chromosomes100Generations100Breed0.8Death0.0T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.01T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.02T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.03T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.04T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.05T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.0T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.15T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.1T1Accuracy,GA-Chromosomes100Generations100Breed0.9Death0.2T1Accuracy,GA-Chromosomes100Generations100Breed1.0Death0.0T1Accuracy
0.038461538461538464,0.038461538461538464,0.03173076923076923,0.022115384615384617,0.04903846153846154,0.0375,0.04519230769230769,0.052884615384615384,0.03942307692307692,0.04038461538461539,0.04230769230769231,0.03365384615384615,0.0375,0.03942307692307692,0.02980769230769231,0.06057692307692308
0.10961538461538461,0.1625,0.13557692307692307,0.17211538461538461,0.15865384615384615,0.19326923076923078,0.1778846153846154,0.1673076923076923,0.12692307692307692,0.1346153846153846,0.15865384615384615,0.19903846153846153,0.13557692307692307,0.1201923076923077,0.15576923076923077,0.19326923076923078
0.12211538461538461,0.2221153846153846,0.24903846153846154,0.3105769230769231,0.27692307692307694,0.26346153846153847,0.28076923076923077,0.24711538461538463,0.24423076923076922,0.21826923076923077,0.23076923076923078,0.27115384615384613,0.19230769230769232,0.20288461538461539,0.19807692307692307,0.32019230769230766
0.0798076923076923,0.27692307692307694,0.2625,0.35096153846153844,0.33653846153846156,0.3471153846153846,0.3326923076923077,0.30480769230769234,0.31826923076923075,0.3153846153846154,0.2932692307692308,0.3836538461538462,0.2221153846153846,0.23365384615384616,0.22115384615384615,0.37403846153846154
0.07692307692307693,0.2932692307692308,0.35384615384615387,0.3548076923076923,0.4288461538461538,0.4009615384615385,0.40192307692307694,0.38653846153846155,0.36153846153846153,0.3769230769230769,0.34326923076923077,0.40673076923076923,0.25,0.31826923076923075,0.2605769230769231,0.425
0.075,0.3471153846153846,0.4028846153846154,0.425,0.4403846153846154,0.46634615384615385,0.45576923076923076,0.4346153846153846,0.4201923076923077,0.425,0.3923076923076923,0.4307692307692308,0.2903846153846154,0.3548076923076923,0.3144230769230769,0.4932692307692308
0.10480769230769231,0.3798076923076923,0.4576923076923077,0.45865384615384613,0.49423076923076925,0.5096153846153846,0.5086538461538461,0.475,0.43365384615384617,0.45384615384615384,0.4221153846153846,0.47307692307692306,0.35384615384615387,0.37596153846153846,0.3076923076923077,0.5298076923076923
0.1201923076923077,0.4048076923076923,0.46826923076923077,0.5269230769230769,0.5221153846153846,0.5384615384615384,0.5201923076923077,0.4778846153846154,0.4875,0.46057692307692305,0.4721153846153846,0.5596153846153846,0.3701923076923077,0.42403846153846153,0.3211538461538462,0.5278846153846154
0.11057692307692307,0.4182692307692308,0.5182692307692308,0.5317307692307692,0.5125,0.551923076923077,0.5144230769230769,0.5336538461538461,0.5057692307692307,0.5384615384615384,0.4951923076923077,0.5451923076923076,0.42115384615384616,0.4182692307692308,0.36153846153846153,0.5653846153846154
0.10384615384615385,0.4567307692307692,0.5144230769230769,0.5711538461538461,0.5423076923076923,0.5875,0.5846153846153846,0.5413461538461538,0.5134615384615384,0.5403846153846154,0.49423076923076925,0.5951923076923077,0.46826923076923077,0.46826923076923077,0.4153846153846154,0.6298076923076923
