BP-LR0.1T1Accuracy,BP-LR0.2T1Accuracy,BP-LR0.3T1Accuracy,BP-LR0.4T1Accuracy,BP-LR0.5T1Accuracy
0.03076923076923077,0.05384615384615385,0.04326923076923077,0.03076923076923077,0.03461538461538462
0.27115384615384613,0.2528846153846154,0.225,0.2221153846153846,0.2201923076923077
0.2971153846153846,0.2759615384615385,0.2605769230769231,0.24615384615384617,0.24807692307692308
0.5211538461538462,0.4913461538461538,0.4740384615384615,0.4567307692307692,0.43365384615384617
0.5346153846153846,0.5038461538461538,0.45576923076923076,0.4375,0.42403846153846153
0.5634615384615385,0.5278846153846154,0.4894230769230769,0.47692307692307695,0.46923076923076923
0.6307692307692307,0.5990384615384615,0.5605769230769231,0.5326923076923077,0.5269230769230769
0.5807692307692308,0.5461538461538461,0.5355769230769231,0.5048076923076923,0.4951923076923077
0.6259615384615385,0.5971153846153846,0.5663461538461538,0.5586538461538462,0.5461538461538461
0.6442307692307693,0.6067307692307692,0.5865384615384616,0.5576923076923077,0.5653846153846154
0.6644230769230769,0.6490384615384616,0.6096153846153847,0.575,0.573076923076923
0.6807692307692308,0.6413461538461539,0.6057692307692307,0.5990384615384615,0.5942307692307692
0.6942307692307692,0.6586538461538461,0.6211538461538462,0.6192307692307693,0.6096153846153847
0.6567307692307692,0.6221153846153846,0.6163461538461539,0.5990384615384615,0.6201923076923077
0.6961538461538461,0.6538461538461539,0.6346153846153846,0.6067307692307692,0.5932692307692308
0.6846153846153846,0.6384615384615384,0.6057692307692307,0.6067307692307692,0.575
0.6817307692307693,0.6346153846153846,0.5971153846153846,0.5875,0.5894230769230769
0.698076923076923,0.6442307692307693,0.6153846153846154,0.6105769230769231,0.5961538461538461
0.6903846153846154,0.6586538461538461,0.6317307692307692,0.635576923076923,0.6317307692307692
0.7278846153846154,0.7048076923076924,0.6692307692307692,0.65,0.6336538461538461
0.7269230769230769,0.7096153846153846,0.6798076923076923,0.6519230769230769,0.6557692307692308
