MM0.1T1Accuracy,MM0.3T1Accuracy,MM0.5T1Accuracy,MM0.6T1Accuracy,MM0.7T1Accuracy,MM0.9T1Accuracy
0.022115384615384617,0.04326923076923077,0.04519230769230769,0.046153846153846156,0.046153846153846156,0.038461538461538464
0.09903846153846153,0.11730769230769231,0.11826923076923077,0.12307692307692308,0.12115384615384615,0.12307692307692308
0.1423076923076923,0.18461538461538463,0.18557692307692308,0.18365384615384617,0.18365384615384617,0.19038461538461537
0.17307692307692307,0.2125,0.18942307692307692,0.18173076923076922,0.17692307692307693,0.18653846153846154
0.2,0.2423076923076923,0.20384615384615384,0.19423076923076923,0.18846153846153846,0.18653846153846154
0.22596153846153846,0.2548076923076923,0.2548076923076923,0.24615384615384617,0.25096153846153846,0.24807692307692308
0.2519230769230769,0.28557692307692306,0.27307692307692305,0.26634615384615384,0.27115384615384613,0.2653846153846154
0.27115384615384613,0.29903846153846153,0.29134615384615387,0.28557692307692306,0.28365384615384615,0.2798076923076923
0.27692307692307694,0.3038461538461538,0.30480769230769234,0.3,0.2923076923076923,0.28557692307692306
0.28365384615384615,0.3278846153846154,0.3144230769230769,0.31153846153846154,0.2971153846153846,0.29134615384615387
0.3105769230769231,0.33653846153846156,0.3298076923076923,0.32019230769230766,0.3192307692307692,0.3038461538461538
0.3278846153846154,0.3384615384615385,0.35096153846153844,0.3471153846153846,0.33942307692307694,0.32884615384615384
0.3451923076923077,0.3346153846153846,0.35384615384615387,0.35096153846153844,0.33653846153846156,0.33365384615384613
0.3557692307692308,0.35192307692307695,0.3548076923076923,0.35,0.3423076923076923,0.3384615384615385
0.36923076923076925,0.3557692307692308,0.3605769230769231,0.35,0.34134615384615385,0.3375
0.3817307692307692,0.3663461538461538,0.3548076923076923,0.35192307692307695,0.34423076923076923,0.3375
0.3971153846153846,0.3798076923076923,0.3644230769230769,0.35673076923076924,0.3490384615384615,0.3317307692307692
0.41346153846153844,0.3855769230769231,0.3730769230769231,0.3721153846153846,0.3625,0.35384615384615387
0.43173076923076925,0.40865384615384615,0.3903846153846154,0.38653846153846155,0.37884615384615383,0.36153846153846153
0.4423076923076923,0.41923076923076924,0.4115384615384615,0.39903846153846156,0.3894230769230769,0.3721153846153846
0.46153846153846156,0.4269230769230769,0.4173076923076923,0.41634615384615387,0.40673076923076923,0.38653846153846155
0.48365384615384616,0.4394230769230769,0.4269230769230769,0.41923076923076924,0.4201923076923077,0.40384615384615385
0.4932692307692308,0.4442307692307692,0.4221153846153846,0.42115384615384616,0.41923076923076924,0.4173076923076923
0.5019230769230769,0.44711538461538464,0.4346153846153846,0.4375,0.4269230769230769,0.4288461538461538
0.5067307692307692,0.4548076923076923,0.4423076923076923,0.4403846153846154,0.43365384615384617,0.4355769230769231
0.49615384615384617,0.46634615384615385,0.4528846153846154,0.44711538461538464,0.44519230769230766,0.4423076923076923
0.48846153846153845,0.4807692307692308,0.45,0.44903846153846155,0.4480769230769231,0.45096153846153847
0.4855769230769231,0.4894230769230769,0.45865384615384613,0.4576923076923077,0.4567307692307692,0.45
0.4846153846153846,0.49038461538461536,0.4596153846153846,0.45865384615384613,0.45576923076923076,0.45576923076923076
0.49230769230769234,0.5,0.4567307692307692,0.45,0.44519230769230766,0.45576923076923076
0.49615384615384617,0.5,0.45,0.45,0.4461538461538462,0.45865384615384613
0.5076923076923077,0.4980769230769231,0.45,0.4480769230769231,0.4480769230769231,0.45576923076923076
0.5115384615384615,0.48846153846153845,0.45,0.45,0.4423076923076923,0.45576923076923076
0.5278846153846154,0.48365384615384616,0.4548076923076923,0.4528846153846154,0.44326923076923075,0.4528846153846154
0.5278846153846154,0.4826923076923077,0.46057692307692305,0.45384615384615384,0.44519230769230766,0.45384615384615384
0.5288461538461539,0.48846153846153845,0.475,0.46923076923076923,0.4548076923076923,0.4567307692307692
0.5336538461538461,0.4894230769230769,0.4932692307692308,0.48173076923076924,0.4653846153846154,0.45865384615384613
0.5432692307692307,0.49423076923076925,0.5019230769230769,0.48846153846153845,0.47115384615384615,0.46826923076923077
0.5423076923076923,0.49903846153846154,0.5057692307692307,0.5,0.48653846153846153,0.47115384615384615
0.5423076923076923,0.5115384615384615,0.5182692307692308,0.5076923076923077,0.4951923076923077,0.4826923076923077
0.5451923076923076,0.5201923076923077,0.5163461538461539,0.510576923076923,0.4951923076923077,0.4932692307692308
0.5471153846153847,0.5336538461538461,0.5173076923076924,0.5076923076923077,0.49615384615384617,0.49038461538461536
0.5471153846153847,0.5394230769230769,0.5201923076923077,0.5115384615384615,0.5,0.5
0.5442307692307692,0.5346153846153846,0.5230769230769231,0.5211538461538462,0.5115384615384615,0.49615384615384617
0.5442307692307692,0.5365384615384615,0.5182692307692308,0.5230769230769231,0.5144230769230769,0.5009615384615385
0.5461538461538461,0.5451923076923076,0.5221153846153846,0.5182692307692308,0.5125,0.5038461538461538
0.5451923076923076,0.5490384615384616,0.5278846153846154,0.5230769230769231,0.5173076923076924,0.5067307692307692
0.5461538461538461,0.5451923076923076,0.5317307692307692,0.5259615384615385,0.5144230769230769,0.510576923076923
0.5490384615384616,0.5403846153846154,0.5259615384615385,0.5230769230769231,0.525,0.5144230769230769
0.5509615384615385,0.5403846153846154,0.5201923076923077,0.5240384615384616,0.5240384615384616,0.5125
0.5557692307692308,0.5403846153846154,0.5211538461538462,0.5230769230769231,0.5221153846153846,0.5163461538461539
0.5576923076923077,0.5365384615384615,0.5230769230769231,0.5240384615384616,0.5163461538461539,0.5153846153846153
0.5586538461538462,0.5355769230769231,0.5182692307692308,0.5336538461538461,0.5163461538461539,0.5163461538461539
0.5576923076923077,0.5317307692307692,0.5221153846153846,0.5336538461538461,0.5144230769230769,0.5096153846153846
0.5615384615384615,0.5326923076923077,0.5240384615384616,0.5336538461538461,0.5182692307692308,0.5076923076923077
0.5653846153846154,0.5403846153846154,0.5240384615384616,0.5355769230769231,0.5201923076923077,0.5144230769230769
