BP-LR0.025T1Cost,BP-LR0.05T1Cost,BP-LR0.0T1Cost,BP-LR0.1T1Cost,BP-LR0.2T1Cost,BP-LR0.3T1Cost,BP-LR0.4T1Cost,BP-LR0.5T1Cost,BP-LR0.6T1Cost,BP-LR0.7T1Cost,BP-LR0.8T1Cost,BP-LR0.9T1Cost,BP-LR1.0T1Cost,BP-LR1.5T1Cost,BP-LR2.0T1Cost
0.4635806592732422,0.4628291489136461,0.46552033303405865,0.46463035833250566,0.46474825494575744,0.4636108907468906,0.464397841837116,0.46772914087870787,0.46499201447293037,0.463199009213388,0.4642452231944269,0.46577234368747583,0.4632477422763518,0.46638442856157186,0.46245363330838113
0.08878476265577451,0.05434025969944926,0.46552033303405865,0.05023844552048535,0.042523871419856536,0.046475136802802956,0.05084109473277069,0.05433046700217,0.05955044552640075,0.06137744546718746,0.06355003662523194,0.06527668593845794,0.06782949791880964,0.06603552536984432,0.07803125624815127
0.05350933034884525,0.042025783182238735,0.46552033303405865,0.0385004396203068,0.040907776143330465,0.0454684257385478,0.05068287217207883,0.05602289242768338,0.06022200648850821,0.06289564118442775,0.06475128500896447,0.06484038088774034,0.06582402694435213,0.07101493827568485,0.0760772109186702
0.0456513649632339,0.03892933897173865,0.46552033303405865,0.036556638492843525,0.03649784296248439,0.0390483302049827,0.042266786688741155,0.045771597881292904,0.04923794584354104,0.052419005012604235,0.05541611347812267,0.05853892989798962,0.06043855402971505,0.06280601693376019,0.06716396892458563
0.04169015058620678,0.037072276730279206,0.46552033303405865,0.03349317710599768,0.03758995042707451,0.04225992295239764,0.04640338493242225,0.05017818100634728,0.05259170542644182,0.05456198345216837,0.05642544368238829,0.05828983303152685,0.06197171808547832,0.0646078413759854,0.0642249250576614
0.03998816635364907,0.0360035648375319,0.46552033303405865,0.0331611334600119,0.03495623984717393,0.04009663793278699,0.045636211396547006,0.04986018341189741,0.05208408072031524,0.05269266596114365,0.053971831600817914,0.05422916092627261,0.056889389817818,0.06115241630901628,0.06464927308726108
0.0382845744815035,0.03453128316386505,0.46552033303405865,0.031049049477610724,0.03360299977596545,0.037757274101688734,0.04210253800742452,0.04586932067467648,0.048581899483782824,0.05033793927754187,0.05259402533753012,0.05537428200821244,0.05593566151682596,0.05052007078444447,0.05424324295259108
0.03760323682179725,0.03416548299076496,0.46552033303405865,0.03236473989792972,0.03416827557463725,0.04071624220035084,0.044964688206654085,0.04810658857254827,0.050804322640813096,0.052322224065322796,0.054064417854735425,0.056017023167579505,0.05471867993728606,0.06601976795237825,0.057803122226576145
0.03680864579972393,0.03342882800880241,0.46552033303405865,0.03088740698075135,0.0312179094681994,0.0345390841806044,0.037275521885343804,0.03979030567875899,0.04134757780148911,0.04320797868516029,0.04556690294692454,0.04777144997446214,0.04803955697512961,0.04930009353348447,0.04853666136245625
0.03595504519251169,0.03224571931400285,0.46552033303405865,0.029742398288361484,0.03033173294880397,0.03355351740007854,0.03678298766604364,0.03938607792955387,0.04098578385921197,0.04268202826746023,0.043737770667393,0.042267335701270926,0.04289678086155546,0.05059674188589544,0.05025376733837369
0.0356066140750544,0.032201134296239886,0.46552033303405865,0.02880650996148062,0.031898228364890965,0.036306465194317385,0.03945526823060038,0.04192102351828736,0.0443484885344396,0.046957593935818,0.04829855208247274,0.04848672306172369,0.0480837764263715,0.050067074741206405,0.04762848859474174
0.03495564220961995,0.03121322660591921,0.46552033303405865,0.028377934263532485,0.0296356247203049,0.03340595220158184,0.0371235479875332,0.038892891498016606,0.03979009421994106,0.04111487012978866,0.04531496992175923,0.04458401758463396,0.04545929324377357,0.04510739597239013,0.050406606619272556
0.034463339182635666,0.03075068599372752,0.46552033303405865,0.0275672244579614,0.02888708933583113,0.03232315679971842,0.03520259774568074,0.03739439868823694,0.03953447200472452,0.04046529631942312,0.04533113070415064,0.045289131979317214,0.05024575142474236,0.047237481173404386,0.05057250736058665
0.03411301205528923,0.03033108604963636,0.46552033303405865,0.028498643492910064,0.03261996353030288,0.037911780848475345,0.04201526710342785,0.04512104921040479,0.04796483050390262,0.05048999936195117,0.05091183100278398,0.04743095305850904,0.048243418535865785,0.052788546406916236,0.04860750186054625
0.03377029982161988,0.029910149815380132,0.46552033303405865,0.02688984596961348,0.03193175338900307,0.03678995665194949,0.0413537749520774,0.04464828827723048,0.045761235818974275,0.04833153157673021,0.04920582712545988,0.04800102621794708,0.04867493736080204,0.052976758958126806,0.05206544202803863
0.033351328560831554,0.02997731024017891,0.46552033303405865,0.02718720597329336,0.03957778693201314,0.04459375840742645,0.0491484965215299,0.053461714588848706,0.05505334749037956,0.05808256974813543,0.05990997176666639,0.05909456577840919,0.057133293866752526,0.061367895894207374,0.06621849239727329
0.033010498042165194,0.029230323224291727,0.46552033303405865,0.026197488904231504,0.03040591282758257,0.03622928623235773,0.040065292470670824,0.04234602029427007,0.046816311623728624,0.048417964317011536,0.05041867808086258,0.051270275375995995,0.05167489722344654,0.04883943018229151,0.05100446591512364
0.03246626533511672,0.0284264061216193,0.46552033303405865,0.026039319491519337,0.027749319096339767,0.031014759241650244,0.033467454387171115,0.03691527108674472,0.03858370715590921,0.04003903965553214,0.039696515545829175,0.042020476358951224,0.04586779295175633,0.049855301087119115,0.04509140717738859
0.0319862009644714,0.027842399514337927,0.46552033303405865,0.028270178585956877,0.025782575513182908,0.028080934418813874,0.030040479706484834,0.032584071213160495,0.03425056241816783,0.03460885696240733,0.036428668484721434,0.03801847837502903,0.03880139206677343,0.045563699354789114,0.03924435947970268
0.031337707096526654,0.02705333039802155,0.46552033303405865,0.027324205360013027,0.025360469553609113,0.027572910104682564,0.029970797158372767,0.03269109524851548,0.03475369078558981,0.033504997518081794,0.034849490245828854,0.036821526210813804,0.03660723600415446,0.03790595414591859,0.04123330717344202
0.03112979404021713,0.027205877624253964,0.46552033303405865,0.02633117382060319,0.026659009860319074,0.029516500358038447,0.03216232524633455,0.03500099751161969,0.03711243193015699,0.0366074883075842,0.036957984969950786,0.03956808383320002,0.03826749314521129,0.04065160734611798,0.041746269236898836
0.030665449459112995,0.02645940544520027,0.46552033303405865,0.026752392978022985,0.025351830150840665,0.02823665584796074,0.03108317359768961,0.033551839120168264,0.03634956551573619,0.03667157086785083,0.03734900792565223,0.03926437671393908,0.03742870503342457,0.03825309507655314,0.03965201132374579
0.03048979743316151,0.026612837345283608,0.46552033303405865,0.02520342188633253,0.02548020398528615,0.029258021892296003,0.032251896828283444,0.034331438364642156,0.037313821122802834,0.037990314819520046,0.03882531810313796,0.04128635440661159,0.04017072377263167,0.04171828287652384,0.04374044741715664
0.030262675014569463,0.02625493106509962,0.46552033303405865,0.02689827725195708,0.027087433234040427,0.03182477000272348,0.035692977577471634,0.03899103873572022,0.04140469334352548,0.03754361784783449,0.04124504303011894,0.04261407416916586,0.044946817947571126,0.044605832443867816,0.04213990831658626
