MM0.1T1Cost,MM0.3T1Cost,MM0.5T1Cost,MM0.6T1Cost,MM0.7T1Cost,MM0.9T1Cost
0.46406683714039415,0.4651288310666707,0.46762157595844744,0.46504819140110853,0.4630208572611875,0.467204521545644
0.05420948541330859,0.07015155810654213,0.08690306197237797,0.09323993173208503,0.09672381316220696,0.10452736774143151
0.04905039132325561,0.06245391745497005,0.06994255146499943,0.07347324055320487,0.07532766242617163,0.08048449719262751
0.04727235709711184,0.05637529930842262,0.06311213556540167,0.06661355486933891,0.06970839782976385,0.07526995622875805
0.04673259594312353,0.05910587562790196,0.065219826695343,0.0684495202390971,0.07043473834707725,0.07424066130832926
0.04644308325649721,0.054683932571201875,0.051106069909706016,0.05053165534687192,0.050589651585719986,0.05089179996352283
0.046612317595249086,0.050284829280641825,0.04807018763379343,0.04767972656888517,0.04822027622771927,0.04935660600811139
0.0457383090019722,0.04460126753636382,0.04472211291791242,0.04496557490426282,0.04569768229032384,0.04704401672502459
0.04473764202853726,0.04224754323901359,0.042807917022058745,0.04333818038444527,0.043886859571569146,0.045128819553274385
0.04393564850602479,0.04209691402015664,0.04251030625312893,0.04308128922044845,0.043438198561186636,0.04403131519969407
0.043360962477376544,0.043402883695007666,0.04404403233941017,0.044533042652491736,0.044933257134481396,0.04525271560283797
0.043059982619095445,0.04519468552737117,0.04651973558440856,0.04658872119508075,0.0477696375733625,0.047597441247201444
0.04301765402130216,0.0464992562768713,0.048571144927844645,0.048886038353213826,0.050537046699568544,0.050884459735341336
0.04317075680326131,0.04739504544860739,0.050073741519719106,0.05100342832981967,0.05301565795358079,0.05366189126261607
0.04337005761206793,0.04821384694470298,0.051800865082815034,0.05314859213497386,0.05542958216985363,0.056303896675162605
0.042955951961987225,0.04790282178889105,0.05222891542152947,0.0540315387216427,0.05629734352503511,0.05740057627973555
0.04185829075462582,0.046555915404716125,0.050842925152716635,0.05294193152004956,0.055174976481640714,0.056436413344983304
0.040670828548904754,0.04509661689586466,0.049238637113881836,0.05147350119751593,0.05336897870066343,0.054766707546506685
0.03956681661716272,0.04347462292490214,0.047499837598155153,0.05003960432610147,0.05159509260425029,0.053959289287077356
0.03841309631150049,0.04152348983471833,0.04598684876403026,0.04866469616663375,0.04978037360053877,0.05250466702484594
0.03716829078694342,0.039597749489994546,0.04494425109484507,0.04755559209439901,0.04855061248890276,0.05140379967108238
0.036254422496278006,0.038217198694389505,0.043905408555916285,0.04627333421472564,0.04704910436471425,0.04985597735803852
0.035754837170667984,0.03749614580283574,0.042903969831243255,0.04485735185600471,0.04536509818697337,0.04769395090807089
0.03564533083205796,0.037025131291537866,0.042037208045715514,0.04361253587027422,0.04398243340409113,0.04593682465072402
0.03568611577451284,0.036479753897065134,0.041203705848246515,0.04268464623933375,0.04299478038168233,0.044578406672737166
0.03579381674150838,0.03594057143607187,0.04037256006223511,0.04180830340300457,0.04242323891000031,0.04370342118375398
0.035879138484528686,0.03546209962734105,0.03989630484798952,0.04111536456857969,0.04187984545364546,0.043275829249852314
0.035830873948937435,0.03488972371028054,0.0397389585674144,0.04066485941274523,0.041629228876992906,0.04280906283571225
0.03567984242695165,0.0345559011496272,0.039826454503284654,0.04072920291137885,0.04146626533857961,0.0422526619477133
0.03538375381972201,0.034213625163610074,0.03968921626437509,0.040575594098894066,0.04145026230994155,0.04186946432783663
0.03479599142069186,0.03400403727052721,0.039404753482992515,0.04026587629303668,0.04142664787037624,0.04156670257482431
0.034124279841611704,0.033923873289760986,0.03909491379882886,0.0401595915042763,0.04143676394786802,0.04156448375206528
0.033286978893252765,0.03402275017224567,0.03877430022718564,0.04020389326903539,0.04150607352818092,0.04172061491921516
0.03248870346953576,0.03415969347603801,0.03843476739125781,0.04019603400538145,0.04151729368882941,0.04201464510489037
0.03163519076654342,0.033953220351251916,0.03773094103581257,0.03965303319634293,0.04108693961172386,0.04179295784903868
0.030831507579819936,0.033560633810832234,0.03680510108089008,0.03874760969559525,0.04040680301655899,0.04150582121236198
0.03014516959649939,0.033035908812899674,0.03565688630914365,0.037640476968439765,0.039258878500634364,0.04103733231234341
0.029530290028368704,0.032496195516941356,0.03450188834838955,0.036389494194842935,0.038116217239403116,0.04040847344463481
0.028998986036744924,0.0319387516040204,0.03353744093803601,0.03511644739648257,0.03680054751204441,0.03911545829056468
0.028571779990916597,0.03142442849450346,0.032937700749533894,0.034049878378359995,0.03541513403173633,0.03793917034559419
0.02823452196557541,0.030984763806700684,0.03252548693705628,0.033551788632614724,0.0347866893272422,0.03699647091860777
0.028017927530465767,0.030715170150909455,0.03229872757274859,0.03319092884219969,0.03432236151983063,0.03639088666529085
0.027865782684163003,0.030481295268136938,0.032252587123098406,0.033025067307079256,0.033987754439452365,0.03600850279948003
0.027713947873940725,0.030263407683357745,0.032212769921563654,0.03281484422429767,0.033711640750256545,0.03564185334340106
0.02756586518307557,0.030119813683909764,0.032135012482177955,0.03261163722647161,0.0335197389102881,0.0354330831096351
0.027458878673369144,0.030055955412203097,0.03198191023012048,0.032406953722019384,0.03334400702852012,0.035234872069962314
0.027367759979336072,0.030136546701774534,0.03191642302902359,0.03238878582034759,0.03332466654719811,0.035038506721660916
0.027286264098035685,0.03033985836761623,0.031957871634317854,0.032468741609891945,0.033369936243548795,0.03506647796487156
0.027220022980512557,0.030548063924685506,0.03208798258156504,0.03256493007816801,0.033461062084214385,0.03527186574691875
0.0271430451378211,0.030753140963379305,0.032288945298011504,0.032660127157548346,0.03362866634797378,0.03544618979538981
0.02704295718781336,0.03093816875898526,0.032452166578659535,0.03277231019105617,0.03380414181627495,0.035510244903687656
0.026917495048416947,0.031081372652531688,0.03259865993265586,0.03287523238997716,0.03393394712013043,0.03546250395234396
0.026787764914369697,0.031197666436345306,0.032778172517784,0.03302406559649391,0.034063146629283045,0.035345621239121675
0.026662209586798713,0.031270007861531494,0.03297007730409971,0.033232073901104366,0.03411301410868466,0.03536151131039253
0.026526438061981416,0.03132791348793846,0.03324161538674822,0.03335767028276879,0.034170558514157894,0.03558035574483954
0.02638625160709305,0.03133354231429521,0.03338446893608939,0.0332286414161628,0.034330647563996085,0.03567377462683772
0.026256058171378525,0.031276533157631334,0.03336656106998122,0.033037366014473546,0.03448796588204767,0.03562081479828222
0.02613804423816085,0.03114976156174184,0.033242078700278954,0.03285685831037108,0.03458707397672104,0.0355617883935121
0.02602242336062908,0.030951696865704936,0.032977219499522425,0.03270231009187717,0.034596889737760636,0.035450788820900095
0.025888512019966583,0.030614909457432813,0.032551826412825585,0.032534093655354715,0.03443062508660113,0.03514455734697036
0.025763360240923638,0.030223851869322915,0.03213782991993778,0.03236401547177818,0.03416146033449556,0.034770496757140876
0.025675853482039306,0.029855831333328937,0.03177844876250429,0.03217288725925677,0.033819254216578123,0.0344121145643189
0.02558882584834081,0.0294560639865094,0.031424622505975205,0.03197890579053705,0.03343371584145781,0.034016506593092466
0.025511384259591326,0.02902820544114186,0.031064098960936665,0.03175077979314383,0.03298555584502371,0.03359791192799991
0.025446440428390015,0.028666640003666456,0.030788209357873936,0.03154967875258559,0.03261603741949097,0.03314335233813542
0.025388342656204398,0.028385787882759028,0.030542889863818052,0.031376993834948186,0.03233907265494727,0.0326931100994496
0.02533865074173401,0.028173227630608526,0.03029188688706767,0.031187627131409115,0.032078945138920754,0.032479287038935066
0.02529069572499069,0.028017534873468336,0.029991181155337287,0.030948734573609357,0.031779517233336683,0.03228164138393036
0.02524543787544948,0.02790117308298266,0.02969691282035778,0.03066191514578713,0.031530542070684356,0.03207875341774424
0.025214881943394423,0.027809421614265608,0.029473189167587503,0.030426467403903385,0.03136326589598388,0.0319845465656299
0.025183754119604308,0.027725699681444827,0.029358218735749016,0.030337391784440584,0.031171175996699427,0.03185213768814181
0.0251631833624128,0.027668405570808182,0.02936415130860901,0.030329765645867993,0.03096402498561655,0.03163723208238265
0.02514148067445497,0.027628477517001357,0.029410227663623726,0.030313861260942706,0.030762784643650187,0.03141914773550149
0.02511680378498054,0.027592546148050238,0.02945071596098317,0.030272903434831785,0.030623221071149745,0.03133042313946459
0.02509763871219826,0.027555238900074705,0.029453655889153815,0.03018286440200055,0.030539268089053603,0.03141334623690471
0.025072649113813312,0.027514815280322406,0.02937687214936288,0.03006114986357257,0.030479967100855234,0.031454670986509274
0.02505520811663616,0.027486011776087702,0.029279406920219957,0.029944761054940677,0.03049295438003231,0.03155502732916776
0.025038830592601077,0.027464928427846938,0.029234737403745308,0.02987060162262306,0.03054262455910186,0.03159555899899869
0.02501366742603385,0.027454833133729956,0.02925327594409072,0.02987799671328394,0.03057504889300094,0.031516124917354935
0.024977010560514983,0.027483828591643805,0.029295782592324654,0.02997011182246882,0.03068101228225058,0.03142967159644126
0.02492370989457763,0.027531301752540798,0.02933378745801974,0.030073192241795877,0.03086332662219827,0.031395540389061005
0.024869302496368043,0.027609400874083753,0.029399684612861434,0.030189420505377873,0.030991425079431423,0.031398195657860464
0.02479535452549316,0.027703296551090766,0.0294792982018843,0.030314695553659392,0.03107564137994436,0.031537610256543946
0.024710479614542938,0.027798976601285514,0.029555603325584264,0.030439307032736774,0.031185247624001086,0.031746117005226414
0.024618561982528,0.02787400488979597,0.029619663202249055,0.03051987984901673,0.03129091400092101,0.031895438873217365
0.024510331553509734,0.027928243974977156,0.029692413755819155,0.030569833727573142,0.03137058281966063,0.03201853791434276
0.02439694826304587,0.027955225543049293,0.029800563691161373,0.030596691441044422,0.03144536029491167,0.032015218608873075
0.02427817449983451,0.027943712202736313,0.02992556694263611,0.030609837447258256,0.03144167891603317,0.031952108345432155
0.024145296733595268,0.027896785693660314,0.030019964829620802,0.030642454732517744,0.03140541896697614,0.031902862549409196
0.02398676174946162,0.027835991324113112,0.03009213401215961,0.030736124706486286,0.03144282444967113,0.03188185084850609
0.02380567106138377,0.027767158181474082,0.030168367787771676,0.030843351113138264,0.031520293483346236,0.031887828959875235
0.02361454850055909,0.027708368950645264,0.030267948104033982,0.030956066764284626,0.03161621076576306,0.03191419249629977
0.023424334966811653,0.027655631751495435,0.03037684594144818,0.03107388180029715,0.03169465659362221,0.03202279927386576
0.0232380588742701,0.027609837267972927,0.030508859056334894,0.0312285694142426,0.03180458376828041,0.03220199182065806
0.023061745089783977,0.027562584318701712,0.030676048833212424,0.03143281549072353,0.031879355400623643,0.032289879050216526
0.022896746439911842,0.027516078329314526,0.030869851911072436,0.0316116558524925,0.03196405067301773,0.032285118836868416
0.02274539937924611,0.027488892480735525,0.031084984868401087,0.0317505799566221,0.032035960719636596,0.03227233620358947
0.02259732562688226,0.027482103379951415,0.03129789659290717,0.03184232686672951,0.032037641886867814,0.03223607734432997
0.02246312837898849,0.02747482488405744,0.03151437019252718,0.03188491895324935,0.032030224935284866,0.03228292401270515
0.022339883775722744,0.027470647109662717,0.0317288823226274,0.03189242264732277,0.032058690242814054,0.03241960215148935
0.02222600635492609,0.027476267619403277,0.03193003630430637,0.03190391792596472,0.032119091883491435,0.03257387657333726
